Date,Open,High,Low,Close,Adjusted_close,Volume
2023-01-03,130.28,130.9,124.17,125.07,124.3748,112117500
2023-01-04,126.89,128.66,125.08,126.36,125.6576,89113600
2023-01-05,127.13,127.77,124.76,125.02,124.3251,80962700
2023-01-06,126.01,130.29,124.89,129.62,128.8995,87754700
2023-01-09,130.47,133.41,129.89,130.15,129.4266,70790800
2023-01-10,130.26,131.26,128.12,130.73,130.0033,63896200
2023-01-11,131.25,133.51,130.46,133.49,132.748,69458900
2023-01-12,133.88,134.26,131.44,133.41,132.6684,71379600
2023-01-13,132.03,134.92,131.66,134.76,134.0109,57809700 
2023-01-17,134.83,137.29,134.13,135.94,135.1844,63646600
2023-01-18,136.82,138.61,135.03,135.21,134.4584,69672800
2023-01-19,134.08,136.25,133.77,135.27,134.5181,58280400
2023-01-20,135.28,138.02,134.22,137.87,137.1037,80223600
2023-01-23,138.12,143.32,137.9,141.11,140.3256,81760300
2023-01-24,140.31,143.16,140.3,142.53,141.7378,66435100
2023-01-25,140.89,142.43,138.81,141.86,141.0715,65799300
2023-01-26,143.17,144.25,141.9,143.96,143.1598,54105100
2023-01-27,143.16,147.23,143.08,145.93,145.1189,70555800
2023-01-30,144.96,145.55,142.85,143,142.2051,64015300
2023-01-31,142.7,144.34,142.28,144.29,143.488,65874500
2023-02-01,143.97,146.61,141.32,145.43,144.6216,77663600
2023-02-02,148.9,151.18,148.17,150.82,149.9817,118339000
2023-02-03,148.03,157.38,147.83,154.5,153.6412,154357300
2023-02-06,152.57,153.1,150.78,151.73,150.8866,69858300
2023-02-07,150.64,155.23,150.64,154.65,153.7904,83322600
2023-02-08,153.88,154.58,151.17,151.92,151.0756,64120100
2023-02-09,153.78,154.33,150.42,150.87,150.0314,56007100
2023-02-10,149.46,151.34,149.22,151.01,150.3999,57450700
2023-02-13,150.95,154.26,150.92,153.85,153.2284,62199000
2023-02-14,152.12,153.77,150.86,153.2,152.5811,61707600
2023-02-15,153.11,155.5,152.88,155.33,154.7025,65573800
2023-02-16,153.51,156.33,153.35,153.71,153.089,68167900
2023-02-17,152.35,153,150.85,152.55,151.9337,59144100
2023-02-21,150.2,151.3,148.41,148.48,147.8801,58867200
2023-02-22,148.87,149.95,147.16,148.91,148.3084,51011300
2023-02-23,150.09,150.34,147.24,149.4,148.7964,48394200
2023-02-24,147.11,147.19,145.72,146.71,146.1173,55469600
2023-02-27,147.71,149.17,147.45,147.92,147.3224,44998500
2023-02-28,147.05,149.08,146.83,147.41,146.8144,50547000
2023-03-01,146.83,147.23,145.01,145.31,144.7229,55479000
2023-03-02,144.38,146.71,143.9,145.91,145.3205,52238100
2023-03-03,148.04,151.11,147.33,151.03,150.4198,70732300
2023-03-06,153.79,156.3,153.46,153.83,153.2085,87558000
2023-03-07,153.7,154.03,151.13,151.6,150.9875,56182000
2023-03-08,152.81,153.47,151.83,152.87,152.2524,47204800
